Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Review,Price,Offer,Rating,Price_In_Thousands,Price_Category,Processor_Brand,Processor_Types,Has_Offer,Value_for_Money
Dell,14,13Th Gen,12,1024,Black,1.75,AMD Ryzen 3,536,83249,29.42,4.2,83.249,Premium,AMD,Ryzen 3,1,19821.190476190477
Hp,15,13Th Gen,32,512,Silver,1.63,AMD Ryzen 7,472,195547,27.21,3.8,195.547,Premium,AMD,Ryzen 7,1,51459.73684210527
Lenovo,Inspiron,13Th Gen,32,256,Black,2.6,AMD Ryzen 5,520,162436,28.76,2.9,162.436,Premium,AMD,Ryzen 5,1,56012.41379310345
Hp,16,13Th Gen,16,512,Black,2.83,AMD Ryzen 5,559,134174,21.869999999999997,3.4,134.174,Premium,AMD,Ryzen 5,1,39462.94117647059
Lenovo,X1,13Th Gen,32,1024,Black,1.38,AMD Ryzen 5,862,128356,26.22,4.9,128.356,Premium,AMD,Ryzen 5,1,26195.102040816324
Lenovo,15,11Th Gen,12,256,Blue,2.41,Intel Core I3,161,86898,29.125,4.1,86.898,Premium,Intel,i3,1,21194.634146341465
Hp,X1,10Th Gen,12,256,Black,2.66,Intel Core I5,722,68059,14.77,4.4,68.059,Mid-Range,Intel,i5,1,15467.954545454544
Hp,16,12Th Gen,16,256,Silver,1.52,Intel Core I5,275,92461,45.95,3.2,92.461,Premium,Intel,i5,1,28894.0625
Lenovo,14,13Th Gen,4,512,Black,1.73,AMD Ryzen 5,498,51053,37.69,3.9,51.053,Mid-Range,AMD,Ryzen 5,1,13090.51282051282
Hp,X1,11Th Gen,12,512,Blue,2.33,Intel Core I3,112,162235,24.56,4.5,162.235,Premium,Intel,i3,1,36052.22222222222
Hp,Inspiron,11Th Gen,32,512,Black,2.33,AMD Ryzen 7,634,42009,28.705,2.9,42.009,Mid-Range,AMD,Ryzen 7,1,14485.862068965518
Dell,X1,12Th Gen,12,512,Silver,2.79,AMD Ryzen 3,559,98278,22.87,3.9,98.278,Premium,AMD,Ryzen 3,1,25199.48717948718
Acer,Inspiron,12Th Gen,4,1024,Blue,1.66,Intel Core I3,709,158455,3.55,3.7,158.455,Premium,Intel,i3,1,42825.67567567567
Hp,Vivobook,11Th Gen,16,256,Blue,1.91,Intel Core I7,542,99086,31.3,4.7,99.086,Premium,Intel,i7,1,21082.127659574468
Acer,14,13Th Gen,12,512,Black,2.48,AMD Ryzen 7,794,92672,47.19,4.6,92.672,Premium,AMD,Ryzen 7,1,20146.08695652174
Dell,14,10Th Gen,4,1024,Blue,1.24,AMD Ryzen 3,397,111586,24.615000000000002,3.4,111.586,Premium,AMD,Ryzen 3,1,32819.41176470588
Dell,Vivobook,10Th Gen,32,512,Grey,2.01,AMD Ryzen 3,341,75737,16.66,4.1,75.737,Mid-Range,AMD,Ryzen 3,1,18472.439024390245
Asus,X1,12Th Gen,16,512,Silver,2.18,Intel Core I3,629,83130,22.82,3.9,83.13,Premium,Intel,i3,1,21315.384615384617
Acer,16,12Th Gen,4,256,White,2.65,AMD Ryzen 7,372,180198,46.37,3.2,180.198,Premium,AMD,Ryzen 7,1,56311.875
Lenovo,Vivobook,12Th Gen,12,1024,Blue,1.7,Intel Core I7,610,70763,30.92,4.4,70.763,Mid-Range,Intel,i7,1,16082.499999999998
Lenovo,14,11Th Gen,32,1024,Black,1.91,Intel Core I5,581,102152,27.5,3.0,102.152,Premium,Intel,i5,1,34050.666666666664
Lenovo,X1,11Th Gen,8,512,Grey,2.37,Intel Core I5,340,142695,23.19,3.7,142.695,Premium,Intel,i5,1,38566.21621621621
Asus,16,12Th Gen,16,256,Grey,2.48,Intel Core I3,619,72688,22.97,3.2,72.688,Mid-Range,Intel,i3,1,22715.0
Lenovo,14,13Th Gen,12,256,Blue,2.71,Intel Core I3,878,163640,25.75,4.2,163.64,Premium,Intel,i3,1,38961.90476190476
Lenovo,16,10Th Gen,12,1024,Grey,2.39,AMD Ryzen 5,730,155441,21.19,3.3,155.441,Premium,AMD,Ryzen 5,1,47103.333333333336
Acer,Vivobook,12Th Gen,4,256,Silver,2.96,Intel Core I5,588,112442,28.6,3.3,112.442,Premium,Intel,i5,1,34073.333333333336
Hp,16,10Th Gen,4,512,Blue,2.92,AMD Ryzen 5,643,61497,22.77,4.8,61.497,Mid-Range,AMD,Ryzen 5,1,12811.875
Hp,Vivobook,11Th Gen,4,256,Silver,1.51,Intel Core I5,567,42109,10.07,2.7,42.109,Mid-Range,Intel,i5,1,15595.925925925925
Asus,15,12Th Gen,32,256,Grey,2.01,Intel Core I3,139,124029,29.23,2.6,124.029,Premium,Intel,i3,1,47703.46153846154
Asus,15,13Th Gen,16,256,Black,2.94,AMD Ryzen 3,973,70134,38.93,3.6,70.134,Mid-Range,AMD,Ryzen 3,1,19481.666666666668
Dell,X1,13Th Gen,12,256,Silver,2.81,Intel Core I5,499,34006,29.42,4.0,34.006,Budget,Intel,i5,1,8501.5
Dell,Inspiron,13Th Gen,8,512,Black,1.78,AMD Ryzen 7,295,186643,25.475,3.1,186.643,Premium,AMD,Ryzen 7,1,60207.419354838705
Acer,X1,12Th Gen,8,512,Silver,1.4,AMD Ryzen 7,236,121576,22.415,4.1,121.576,Premium,AMD,Ryzen 7,1,29652.68292682927
Asus,16,10Th Gen,32,1024,Grey,2.19,Intel Core I3,537,151440,29.28,3.7,151.44,Premium,Intel,i3,1,40929.72972972973
Acer,X1,10Th Gen,4,1024,White,2.59,AMD Ryzen 5,688,132396,29.36,4.9,132.396,Premium,AMD,Ryzen 5,1,27019.591836734693
Asus,X1,11Th Gen,8,1024,Black,1.37,AMD Ryzen 3,265,115528,28.134999999999998,3.6,115.528,Premium,AMD,Ryzen 3,1,32091.11111111111
Lenovo,15,12Th Gen,8,512,Silver,2.59,Intel Core I5,625,138772,33.07,4.7,138.772,Premium,Intel,i5,1,29525.95744680851
Asus,15,13Th Gen,32,512,Grey,1.91,Intel Core I5,493,145158,22.26,4.4,145.158,Premium,Intel,i5,1,32990.454545454544
Asus,14,12Th Gen,16,256,Silver,2.35,AMD Ryzen 5,600,41551,22.82,3.0,41.551,Mid-Range,AMD,Ryzen 5,1,13850.333333333334
Dell,Inspiron,10Th Gen,8,1024,Blue,1.36,AMD Ryzen 7,473,146339,13.61,3.1,146.339,Premium,AMD,Ryzen 7,1,47206.12903225806
Lenovo,16,13Th Gen,4,256,Silver,2.25,Intel Core I7,494,189118,22.76,3.2,189.118,Premium,Intel,i7,1,59099.375
Dell,Inspiron,13Th Gen,16,1024,Grey,1.43,AMD Ryzen 3,565,158656,26.45,3.4,158.656,Premium,AMD,Ryzen 3,1,46663.529411764706
Acer,Vivobook,13Th Gen,8,1024,Grey,1.26,Intel Core I3,533,39352,28.02,3.5,39.352,Budget,Intel,i3,1,11243.42857142857
Dell,16,11Th Gen,12,512,Blue,1.23,Intel Core I5,805,24916,23.98,3.3,24.916,Budget,Intel,i5,1,7550.303030303031
Lenovo,14,13Th Gen,12,1024,Blue,2.27,AMD Ryzen 5,753,167875,25.75,3.8,167.875,Premium,AMD,Ryzen 5,1,44177.631578947374
Hp,Inspiron,10Th Gen,8,512,Grey,1.82,Intel Core I3,936,152410,26.66,4.7,152.41,Premium,Intel,i3,1,32427.659574468085
Hp,Inspiron,10Th Gen,32,1024,White,1.84,Intel Core I7,634,143835,25.77,2.9,143.835,Premium,Intel,i7,1,49598.275862068964
Asus,14,13Th Gen,4,512,White,1.9,AMD Ryzen 7,691,98660,2.27,2.7,98.66,Premium,AMD,Ryzen 7,1,36540.74074074074
Acer,15,12Th Gen,16,256,Black,1.41,AMD Ryzen 3,753,101143,29.44,2.7,101.143,Premium,AMD,Ryzen 3,1,37460.370370370365
Dell,Vivobook,12Th Gen,32,512,Blue,1.87,Intel Core I5,653,33674,32.04,4.8,33.674,Budget,Intel,i5,1,7015.416666666667
Acer,14,11Th Gen,4,1024,Black,2.11,Intel Core I5,533,133601,20.97,3.5,133.601,Premium,Intel,i5,1,38171.71428571428
Lenovo,X1,11Th Gen,16,256,Blue,1.43,AMD Ryzen 3,537,41808,27.435000000000002,3.3,41.808,Mid-Range,AMD,Ryzen 3,1,12669.09090909091
Acer,14,11Th Gen,12,512,Black,1.36,Intel Core I3,382,178497,35.55,3.5,178.497,Premium,Intel,i3,1,50999.142857142855
Hp,14,11Th Gen,16,512,Blue,1.95,AMD Ryzen 5,563,136536,42.03,3.1,136.536,Premium,AMD,Ryzen 5,1,44043.87096774193
Hp,15,12Th Gen,32,512,Grey,2.55,AMD Ryzen 5,512,129724,23.42,4.0,129.724,Premium,AMD,Ryzen 5,1,32431.0
Dell,16,10Th Gen,32,512,Grey,2.98,AMD Ryzen 7,495,115705,22.53,4.4,115.705,Premium,AMD,Ryzen 7,1,26296.590909090908
Acer,Vivobook,13Th Gen,32,256,Black,2.89,Intel Core I3,360,186387,43.61,4.6,186.387,Premium,Intel,i3,1,40518.913043478264
Dell,14,11Th Gen,12,1024,Black,2.1,AMD Ryzen 7,448,96404,49.65,4.1,96.404,Premium,AMD,Ryzen 7,1,23513.17073170732
Acer,15,12Th Gen,4,1024,Black,2.74,Intel Core I7,562,192872,1.47,2.7,192.872,Premium,Intel,i7,1,71434.07407407407
Dell,16,11Th Gen,4,1024,Blue,1.91,Intel Core I7,966,59792,28.26,5.0,59.792,Mid-Range,Intel,i7,1,11958.4
Hp,15,12Th Gen,8,256,Grey,2.46,Intel Core I7,246,155465,38.8,3.6,155.465,Premium,Intel,i7,1,43184.72222222222
Asus,Vivobook,10Th Gen,8,256,White,1.33,AMD Ryzen 5,604,103099,43.74,3.6,103.099,Premium,AMD,Ryzen 5,1,28638.61111111111
Asus,Vivobook,13Th Gen,16,1024,White,1.89,Intel Core I5,582,162189,11.82,2.7,162.189,Premium,Intel,i5,1,60069.99999999999
Hp,X1,10Th Gen,4,1024,Silver,1.93,AMD Ryzen 3,563,199883,22.77,4.1,199.883,Premium,AMD,Ryzen 3,1,48751.9512195122
Acer,14,11Th Gen,4,1024,Black,2.91,AMD Ryzen 5,547,141976,23.67,3.9,141.976,Premium,AMD,Ryzen 5,1,36404.10256410256
Asus,X1,10Th Gen,12,256,Black,2.78,Intel Core I5,418,124382,24.84,3.2,124.382,Premium,Intel,i5,1,38869.375
Acer,14,11Th Gen,8,256,Grey,1.76,Intel Core I3,709,142338,19.94,3.7,142.338,Premium,Intel,i3,1,38469.72972972973
Asus,15,12Th Gen,16,256,Black,1.67,Intel Core I3,529,120667,22.82,4.0,120.667,Premium,Intel,i3,1,30166.75
Asus,X1,11Th Gen,32,256,Black,2.31,Intel Core I7,924,79119,24.22,4.4,79.119,Mid-Range,Intel,i7,1,17981.590909090908
Lenovo,X1,12Th Gen,8,512,Blue,1.72,AMD Ryzen 7,719,88798,27.51,3.6,88.798,Premium,AMD,Ryzen 7,1,24666.11111111111
Acer,16,10Th Gen,12,512,Grey,2.3,Intel Core I3,550,32688,26.92,2.9,32.688,Budget,Intel,i3,1,11271.724137931034
Asus,14,10Th Gen,16,1024,Grey,2.18,Intel Core I3,394,144350,19.795,3.1,144.35,Premium,Intel,i3,1,46564.51612903226
Asus,14,12Th Gen,4,256,Black,2.7,AMD Ryzen 3,805,20225,28.81,2.9,20.225,Budget,AMD,Ryzen 3,1,6974.137931034483
Acer,14,12Th Gen,4,256,Black,2.23,Intel Core I7,957,36045,46.43,4.8,36.045,Budget,Intel,i7,1,7509.375
Lenovo,X1,13Th Gen,8,512,Blue,1.93,AMD Ryzen 5,505,109902,19.23,3.8,109.902,Premium,AMD,Ryzen 5,1,28921.578947368424
Hp,X1,11Th Gen,4,1024,White,2.59,Intel Core I3,562,81551,15.08,3.5,81.551,Premium,Intel,i3,1,23300.285714285714
Asus,16,10Th Gen,16,1024,White,1.32,AMD Ryzen 7,526,44288,41.56,4.7,44.288,Mid-Range,AMD,Ryzen 7,1,9422.978723404254
Dell,14,10Th Gen,8,256,Silver,2.01,Intel Core I7,131,57704,13.87,3.3,57.704,Mid-Range,Intel,i7,1,17486.060606060608
Dell,16,10Th Gen,12,1024,White,1.39,AMD Ryzen 5,532,26512,46.16,4.6,26.512,Budget,AMD,Ryzen 5,1,5763.478260869566
Dell,X1,12Th Gen,12,1024,Grey,1.3,AMD Ryzen 7,117,34509,34.73,2.5,34.509,Budget,AMD,Ryzen 7,1,13803.6
Acer,15,12Th Gen,8,256,Blue,1.91,AMD Ryzen 3,115,101172,20.62,4.9,101.172,Premium,AMD,Ryzen 3,1,20647.34693877551
Asus,X1,10Th Gen,16,1024,Black,1.95,Intel Core I5,411,140586,19.795,4.4,140.586,Premium,Intel,i5,1,31951.363636363632
Acer,Inspiron,12Th Gen,4,512,White,1.62,Intel Core I5,802,108631,29.59,4.6,108.631,Premium,Intel,i5,1,23615.434782608696
Dell,Inspiron,11Th Gen,32,1024,Blue,2.71,AMD Ryzen 3,837,63755,28.55,3.2,63.755,Mid-Range,AMD,Ryzen 3,1,19923.4375
Asus,Inspiron,12Th Gen,12,512,Blue,1.75,AMD Ryzen 7,508,82065,23.34,4.4,82.065,Premium,AMD,Ryzen 7,1,18651.13636363636
Dell,X1,12Th Gen,4,512,Grey,1.46,Intel Core I3,456,151957,46.81,2.6,151.957,Premium,Intel,i3,1,58445.0
Acer,X1,13Th Gen,12,1024,Black,1.55,Intel Core I7,586,91386,28.17,3.8,91.386,Premium,Intel,i7,1,24048.947368421053
Lenovo,Vivobook,12Th Gen,32,512,Silver,2.06,AMD Ryzen 5,588,57632,25.15,3.9,57.632,Mid-Range,AMD,Ryzen 5,1,14777.435897435898
Asus,14,12Th Gen,32,256,White,1.51,Intel Core I7,535,111881,18.47,3.0,111.881,Premium,Intel,i7,1,37293.666666666664
Acer,16,13Th Gen,12,256,Blue,1.95,AMD Ryzen 5,218,76279,28.17,4.7,76.279,Mid-Range,AMD,Ryzen 5,1,16229.574468085106
Lenovo,Vivobook,12Th Gen,16,512,Grey,2.12,AMD Ryzen 5,332,143971,20.63,4.5,143.971,Premium,AMD,Ryzen 5,1,31993.555555555555
Acer,Inspiron,13Th Gen,12,256,Grey,1.45,Intel Core I3,592,22978,28.17,3.1,22.978,Budget,Intel,i3,1,7412.258064516129
Dell,X1,12Th Gen,8,1024,Black,1.63,Intel Core I7,536,196580,20.24,4.2,196.58,Premium,Intel,i7,1,46804.7619047619
Hp,Vivobook,13Th Gen,4,1024,Blue,2.89,AMD Ryzen 7,634,148906,27.33,4.2,148.906,Premium,AMD,Ryzen 7,1,35453.80952380952
Hp,15,11Th Gen,4,512,Black,2.75,AMD Ryzen 3,922,71974,24.674999999999997,3.9,71.974,Mid-Range,AMD,Ryzen 3,1,18454.871794871797
Acer,Inspiron,12Th Gen,12,256,Grey,2.87,Intel Core I5,485,75862,23.06,3.1,75.862,Mid-Range,Intel,i5,1,24471.612903225807
Dell,Inspiron,10Th Gen,4,256,Silver,2.67,Intel Core I3,271,91829,24.52,3.7,91.829,Premium,Intel,i3,1,24818.648648648646
Acer,Vivobook,12Th Gen,32,1024,Silver,1.45,AMD Ryzen 3,636,98729,30.995,2.9,98.729,Premium,AMD,Ryzen 3,1,34044.48275862069
Acer,14,13Th Gen,12,1024,Silver,2.34,Intel Core I3,648,145229,28.17,3.2,145.229,Premium,Intel,i3,1,45384.0625
Dell,16,11Th Gen,16,512,Silver,1.88,AMD Ryzen 5,540,187474,3.35,5.0,187.474,Premium,AMD,Ryzen 5,1,37494.8
Dell,16,13Th Gen,16,256,Silver,2.62,AMD Ryzen 3,594,27348,30.15,3.5,27.348,Budget,AMD,Ryzen 3,1,7813.714285714285
Hp,Inspiron,12Th Gen,12,1024,Grey,1.77,AMD Ryzen 3,562,48427,28.565,3.5,48.427,Mid-Range,AMD,Ryzen 3,1,13836.285714285714
Asus,Inspiron,13Th Gen,12,1024,Grey,1.3,Intel Core I3,490,38213,27.14,3.2,38.213,Budget,Intel,i3,1,11941.5625
Asus,Vivobook,13Th Gen,16,256,Blue,2.69,Intel Core I5,871,164116,16.15,2.7,164.116,Premium,Intel,i5,1,60783.7037037037
Lenovo,16,11Th Gen,16,1024,White,2.99,AMD Ryzen 3,510,140823,45.98,3.5,140.823,Premium,AMD,Ryzen 3,1,40235.142857142855
Lenovo,14,10Th Gen,4,256,Grey,1.93,Intel Core I7,526,152396,27.229999999999997,3.5,152.396,Premium,Intel,i7,1,43541.71428571428
Hp,14,13Th Gen,4,256,White,2.84,Intel Core I7,426,53236,46.01,2.6,53.236,Mid-Range,Intel,i7,1,20475.384615384613
Dell,Inspiron,10Th Gen,32,256,Blue,2.66,Intel Core I5,220,145114,25.39,4.2,145.114,Premium,Intel,i5,1,34550.95238095238
Lenovo,Inspiron,12Th Gen,16,512,Black,2.97,Intel Core I3,599,99661,20.63,4.0,99.661,Premium,Intel,i3,1,24915.25
Dell,16,13Th Gen,12,1024,Grey,2.91,AMD Ryzen 3,594,37715,29.42,3.5,37.715,Budget,AMD,Ryzen 3,1,10775.714285714286
Dell,16,12Th Gen,4,256,Blue,2.08,AMD Ryzen 7,499,138742,23.725,4.0,138.742,Premium,AMD,Ryzen 7,1,34685.5
Acer,14,13Th Gen,32,512,White,2.78,Intel Core I3,654,103239,29.96,4.9,103.239,Premium,Intel,i3,1,21069.183673469386
Asus,15,13Th Gen,32,256,White,1.32,Intel Core I5,599,116319,17.67,4.8,116.319,Premium,Intel,i5,1,24233.125
Hp,15,11Th Gen,8,256,White,1.77,Intel Core I5,401,66292,13.71,5.0,66.292,Mid-Range,Intel,i5,1,13258.4
Dell,X1,12Th Gen,32,256,Black,2.98,AMD Ryzen 5,176,90314,9.79,4.6,90.314,Premium,AMD,Ryzen 5,1,19633.478260869568
Acer,X1,10Th Gen,16,1024,Black,2.75,Intel Core I7,738,82926,27.48,3.4,82.926,Premium,Intel,i7,1,24390.0
Asus,15,12Th Gen,32,256,Blue,1.95,AMD Ryzen 7,365,40935,37.07,3.3,40.935,Mid-Range,AMD,Ryzen 7,1,12404.545454545456
Dell,14,12Th Gen,4,1024,Grey,2.21,Intel Core I3,593,75040,18.36,4.3,75.04,Mid-Range,Intel,i3,1,17451.162790697676
Hp,15,11Th Gen,32,512,Black,2.35,Intel Core I7,527,77439,28.705,3.7,77.439,Mid-Range,Intel,i7,1,20929.45945945946
Dell,X1,11Th Gen,16,512,Grey,1.88,Intel Core I5,559,56828,21.994999999999997,3.9,56.828,Mid-Range,Intel,i5,1,14571.28205128205
Dell,15,10Th Gen,4,1024,Black,1.23,AMD Ryzen 3,595,67177,24.615000000000002,3.6,67.177,Mid-Range,AMD,Ryzen 3,1,18660.277777777777
Dell,X1,11Th Gen,16,512,Grey,1.52,AMD Ryzen 3,804,42692,23.08,3.6,42.692,Mid-Range,AMD,Ryzen 3,1,11858.888888888889
Asus,14,10Th Gen,8,256,Grey,3.0,Intel Core I7,208,192592,25.5,2.7,192.592,Premium,Intel,i7,1,71330.37037037036
Dell,14,11Th Gen,16,512,Silver,2.98,AMD Ryzen 5,495,52838,15.68,3.4,52.838,Mid-Range,AMD,Ryzen 5,1,15540.588235294119
Asus,14,12Th Gen,16,256,Black,2.57,AMD Ryzen 3,537,48751,22.82,2.6,48.751,Mid-Range,AMD,Ryzen 3,1,18750.384615384613
Acer,14,12Th Gen,12,1024,Black,2.94,Intel Core I5,542,110377,23.06,4.8,110.377,Premium,Intel,i5,1,22995.208333333336
Dell,14,10Th Gen,4,1024,Grey,1.61,AMD Ryzen 3,678,199754,24.615000000000002,3.2,199.754,Premium,AMD,Ryzen 3,1,62423.125
Acer,15,13Th Gen,16,1024,Blue,1.71,AMD Ryzen 7,102,95891,22.73,3.9,95.891,Premium,AMD,Ryzen 7,1,24587.4358974359
Asus,Vivobook,12Th Gen,4,1024,Black,1.82,AMD Ryzen 7,331,191619,28.81,2.7,191.619,Premium,AMD,Ryzen 7,1,70970.0
Lenovo,15,10Th Gen,12,512,Grey,1.31,AMD Ryzen 7,526,130134,5.96,3.5,130.134,Premium,AMD,Ryzen 7,1,37181.142857142855
Lenovo,Vivobook,11Th Gen,32,512,Silver,2.81,Intel Core I3,923,66498,27.5,4.9,66.498,Mid-Range,Intel,i3,1,13571.020408163264
Acer,Inspiron,10Th Gen,4,1024,White,1.8,Intel Core I3,540,53200,29.36,2.7,53.2,Mid-Range,Intel,i3,1,19703.7037037037
Asus,X1,11Th Gen,12,512,Blue,2.34,Intel Core I7,176,22768,24.5,4.3,22.768,Budget,Intel,i7,1,5294.883720930233
Hp,16,10Th Gen,32,1024,Silver,2.95,AMD Ryzen 5,428,147633,25.77,4.4,147.633,Premium,AMD,Ryzen 5,1,33552.954545454544
Lenovo,16,12Th Gen,4,512,Blue,1.45,AMD Ryzen 3,537,157604,19.58,3.3,157.604,Premium,AMD,Ryzen 3,1,47758.78787878788
Asus,14,13Th Gen,12,1024,White,2.43,AMD Ryzen 5,618,165742,29.99,3.8,165.742,Premium,AMD,Ryzen 5,1,43616.31578947369
Hp,X1,13Th Gen,16,512,Grey,2.28,AMD Ryzen 5,634,32378,2.64,4.2,32.378,Budget,AMD,Ryzen 5,1,7709.047619047618
Acer,15,11Th Gen,32,256,Black,1.93,Intel Core I5,586,110744,14.03,3.8,110.744,Premium,Intel,i5,1,29143.157894736843
Asus,14,10Th Gen,32,512,Grey,1.27,AMD Ryzen 7,989,20787,29.28,4.2,20.787,Budget,AMD,Ryzen 7,1,4949.285714285714
Acer,16,12Th Gen,16,1024,Grey,2.12,Intel Core I5,234,173469,23.68,2.9,173.469,Premium,Intel,i5,1,59816.89655172414
Hp,15,13Th Gen,16,256,Black,1.51,Intel Core I7,464,55308,21.869999999999997,2.5,55.308,Mid-Range,Intel,i7,1,22123.2
Dell,15,12Th Gen,4,512,Blue,1.89,AMD Ryzen 3,745,37247,23.725,4.3,37.247,Budget,AMD,Ryzen 3,1,8662.093023255815
Dell,Vivobook,11Th Gen,8,256,Blue,2.89,AMD Ryzen 3,344,50559,21.26,4.3,50.559,Mid-Range,AMD,Ryzen 3,1,11757.906976744187
Hp,Inspiron,13Th Gen,4,256,White,1.85,Intel Core I5,703,108718,27.33,3.5,108.718,Premium,Intel,i5,1,31062.285714285714
Dell,Vivobook,12Th Gen,12,1024,Black,1.74,Intel Core I3,448,174082,35.0,4.1,174.082,Premium,Intel,i3,1,42459.0243902439
Lenovo,Inspiron,12Th Gen,16,1024,Blue,2.36,Intel Core I7,590,22537,1.24,4.3,22.537,Budget,Intel,i7,1,5241.162790697675
Dell,Inspiron,13Th Gen,12,512,Blue,2.1,AMD Ryzen 5,536,24968,29.42,4.2,24.968,Budget,AMD,Ryzen 5,1,5944.761904761905
Asus,15,10Th Gen,32,1024,Silver,1.28,Intel Core I3,508,127205,48.63,4.4,127.205,Premium,Intel,i3,1,28910.227272727272
Hp,Inspiron,13Th Gen,12,512,Grey,2.92,Intel Core I7,465,61273,12.05,4.2,61.273,Mid-Range,Intel,i7,1,14588.809523809523
Lenovo,Inspiron,11Th Gen,12,256,White,1.64,Intel Core I3,610,113079,29.125,4.4,113.079,Premium,Intel,i3,1,25699.772727272724
Dell,X1,10Th Gen,32,256,Silver,2.96,AMD Ryzen 3,594,78903,25.39,3.5,78.903,Mid-Range,AMD,Ryzen 3,1,22543.714285714286
Lenovo,16,12Th Gen,16,256,Silver,1.45,AMD Ryzen 3,588,170135,11.41,3.9,170.135,Premium,AMD,Ryzen 3,1,43624.35897435898
Dell,Inspiron,10Th Gen,12,1024,Black,2.45,AMD Ryzen 3,582,165337,28.87,4.5,165.337,Premium,AMD,Ryzen 3,1,36741.555555555555
Acer,Inspiron,10Th Gen,4,1024,White,2.89,AMD Ryzen 7,560,160496,33.9,2.6,160.496,Premium,AMD,Ryzen 7,1,61729.230769230766
Dell,16,11Th Gen,4,512,Blue,1.28,AMD Ryzen 7,582,72372,15.43,4.5,72.372,Mid-Range,AMD,Ryzen 7,1,16082.666666666666
Asus,16,11Th Gen,8,1024,White,1.32,AMD Ryzen 3,461,198016,28.134999999999998,5.0,198.016,Premium,AMD,Ryzen 3,1,39603.2
Asus,X1,13Th Gen,32,1024,White,2.23,Intel Core I3,444,177915,22.26,4.9,177.915,Premium,Intel,i3,1,36309.183673469386
Dell,X1,12Th Gen,16,1024,Black,1.93,Intel Core I7,502,26243,13.78,2.5,26.243,Budget,Intel,i7,1,10497.2
Acer,Inspiron,12Th Gen,4,256,Black,1.64,AMD Ryzen 7,837,23066,44.18,3.5,23.066,Budget,AMD,Ryzen 7,1,6590.285714285715
Hp,X1,12Th Gen,16,1024,Blue,1.37,Intel Core I3,563,193043,1.81,3.1,193.043,Premium,Intel,i3,1,62271.93548387096
Hp,X1,13Th Gen,4,1024,White,2.62,AMD Ryzen 3,730,50356,42.45,5.0,50.356,Mid-Range,AMD,Ryzen 3,1,10071.2
Lenovo,15,13Th Gen,4,256,Silver,2.77,Intel Core I3,459,28948,22.76,4.0,28.948,Budget,Intel,i3,1,7237.0
Acer,X1,12Th Gen,8,1024,Grey,2.77,AMD Ryzen 7,210,184423,0.78,2.9,184.423,Premium,AMD,Ryzen 7,1,63594.137931034486
Dell,X1,11Th Gen,16,512,Silver,2.0,Intel Core I5,112,185584,21.994999999999997,4.5,185.584,Premium,Intel,i5,1,41240.88888888889
Lenovo,X1,12Th Gen,8,1024,Grey,2.87,Intel Core I5,512,58072,40.98,3.0,58.072,Mid-Range,Intel,i5,1,19357.333333333332
Dell,16,10Th Gen,32,256,Blue,1.43,AMD Ryzen 7,264,199852,19.7,2.6,199.852,Premium,AMD,Ryzen 7,1,76866.15384615384
Asus,X1,12Th Gen,8,512,Black,1.44,Intel Core I5,115,149227,21.97,5.0,149.227,Premium,Intel,i5,1,29845.4
Asus,15,12Th Gen,4,1024,White,2.31,AMD Ryzen 5,444,75958,28.81,4.9,75.958,Mid-Range,AMD,Ryzen 5,1,15501.632653061224
Acer,Vivobook,11Th Gen,32,256,Silver,3.0,AMD Ryzen 3,669,124915,38.78,3.5,124.915,Premium,AMD,Ryzen 3,1,35690.0
Lenovo,X1,13Th Gen,4,256,Black,2.5,Intel Core I3,379,173338,17.04,4.6,173.338,Premium,Intel,i3,1,37682.17391304348
Asus,Inspiron,11Th Gen,16,256,Grey,2.06,AMD Ryzen 7,984,172208,27.07,2.9,172.208,Premium,AMD,Ryzen 7,1,59382.06896551725
Dell,14,12Th Gen,12,512,Black,2.38,AMD Ryzen 5,543,105989,22.35,3.1,105.989,Premium,AMD,Ryzen 5,1,34190.0
Hp,X1,10Th Gen,4,1024,Blue,1.51,Intel Core I5,193,27273,22.77,3.8,27.273,Budget,Intel,i5,1,7177.105263157895
Asus,15,12Th Gen,12,1024,Silver,1.92,AMD Ryzen 5,549,167365,19.57,2.7,167.365,Premium,AMD,Ryzen 5,1,61987.03703703704
Asus,Inspiron,10Th Gen,12,1024,Silver,2.75,Intel Core I5,965,116693,24.84,2.6,116.693,Premium,Intel,i5,1,44881.92307692308
Acer,14,11Th Gen,16,512,White,2.27,Intel Core I3,219,23952,35.61,4.6,23.952,Budget,Intel,i3,1,5206.956521739131
Dell,16,12Th Gen,32,512,Black,2.05,AMD Ryzen 3,859,93076,19.78,2.8,93.076,Premium,AMD,Ryzen 3,1,33241.42857142857
Dell,16,13Th Gen,32,256,Grey,1.75,AMD Ryzen 7,567,189071,16.88,3.7,189.071,Premium,AMD,Ryzen 7,1,51100.270270270266
Asus,Inspiron,10Th Gen,4,1024,Blue,1.88,AMD Ryzen 7,597,170141,26.604999999999997,4.3,170.141,Premium,AMD,Ryzen 7,1,39567.674418604656
Acer,15,13Th Gen,12,256,Silver,2.74,AMD Ryzen 7,604,129673,28.17,3.1,129.673,Premium,AMD,Ryzen 7,1,41830.0
